Brand Code,Carb Volume,Fill Ounces,PC Volume,Carb Pressure,Carb Temp,PSC,PSC Fill,PSC CO2,Mnf Flow,Carb Pressure1,Fill Pressure,Hyd Pressure1,Hyd Pressure2,Hyd Pressure3,Hyd Pressure4,Filler Level,Filler Speed,Temperature,Usage cont,Carb Flow,Density,MFR,Balling,Pressure Vacuum,PH,Oxygen Filler,Bowl Setpoint,Pressure Setpoint,Air Pressurer,Alch Rel,Carb Rel,Balling Lvl
,5.253333333,23.88666667,0.319333333,65,140,0.048,0.26,0.02,-100,125.6,43.4,0,0,0,110,130.4,,69,18.16,32,0.8,,1.198,-4.8,,0.16,120,46,142.2,6.52,5.28,1.6
B,5.34,23.98666667,0.253333333,70.4,144.8,0.114,0.12,0,-100,118,45.6,0,0,0,90,119.2,3998,66,18.6,3004,0.88,730.4,1.398,-4,,0.102,120,46,142,6.5,5.36,1.4
B,5.266666667,23.94,0.274666667,65.4,140.2,0.122,0.42,0.06,-100,116.4,46.2,0,0,0,90,120.6,3992,65.8,18.18,3090,0.94,728.6,1.548,-4.4,,0.06,120,46,142.2,6.52,5.3,1.44
D,5.506666667,23.89333333,0.249333333,68.4,138.6,0.058,0.12,0.02,-100,118,46.2,0,0,0,76,120.2,3996,64.2,21.68,2936,1.64,729.8,3.29,-4.2,,0.154,120,46,142.4,7.76,5.62,3.16
B,5.32,23.96,0.190666667,66.4,140.2,0.038,0.04,0,-100,117.8,45.4,0,0,0,92,120,3996,65.4,22.28,2972,0.92,726.8,1.498,-4.4,,0.022,120,46,142.6,6.56,5.38,1.46
B,5.273333333,23.96666667,0.199333333,68.4,141.8,0.008,0.3,0.2,-100,117.2,46,0,0,0,94,120.2,3998,65.6,24.02,3094,0.92,732,1.498,-4.4,,0.022,120,46,142.4,6.58,5.4,1.46
B,5.533333333,23.98666667,0.246666667,70.4,142.2,0.062,0.08,,-100,121,47.6,0,0,0,118,120,2834,67.4,13.56,3154,0.7,523.4,0.946,-4.4,,0.054,120,46,141.8,6.5,5.48,1.36
A,5.426666667,23.98666667,0.255333333,69,140.4,0.122,0.48,0.04,-100,121.2,38.8,0,0,0,,131.4,1386,66.4,19.32,868,1.56,,3.092,-4.4,,0.022,120,46,142.8,7.08,5.54,3.18
B,5.406666667,23.94,0.329333333,66.2,137.8,0.208,0.46,0.02,-100,130.6,44.6,0,0,0,96,119,4002,67,17.52,2592,0.88,731.4,1.398,-4,,0.022,120,46,142.8,6.5,5.46,1.4
B,5.453333333,24.09333333,0.235333333,66.4,136.2,0.072,0.06,0.06,-100,125.2,46.4,0,0,0,94,120.2,4010,66.4,20.38,2996,0.9,736.8,1.448,-4.6,,0.024,120,46,142.6,6.5,5.38,1.4
C,5.266666667,23.94666667,0.276666667,64.8,139.2,0.048,0.18,0.02,-100,116.6,46.2,0,0,0,90,120.6,4014,66,24.12,3060,0.9,738.6,1.448,-4.4,,0.022,120,46,142.2,6.54,5.32,1.4
C,5.253333333,23.99333333,0.293333333,70.4,146.4,0.04,0.14,0.02,-100,122.2,46,0,0,0,102,119.8,4012,66.8,17.54,3136,0.94,741.2,1.548,-4.2,,0.022,120,46,142.2,6.62,5.34,1.52
D,5.5,24.04666667,0.246666667,71,141.8,0.04,0.02,0,-100,120.4,46.4,0,0,0,78,119.4,4010,65.6,18.12,3194,1.64,735.2,3.29,-3.8,,0.174,120,46,142,7.74,5.66,3.28
D,5.48,23.89333333,0.224666667,70.4,140.8,,0.34,0.06,-100,120.2,50.4,0,0,0,80,120,4010,64.8,16.94,3162,1.66,740.8,3.34,-3.8,,0.022,120,50,142,7.74,5.62,3.24
D,5.486666667,23.98,0.306666667,69.6,140,0.234,0.16,0.02,-100,122.6,47,0,0,0,78,120.2,4010,64.6,17.04,2982,1.66,733.8,3.34,-4,,0.024,120,46,141.8,7.74,5.62,3.26
D,5.466666667,24.04,0.23,70.2,141.2,0.004,0.1,0.04,-100,120.2,46.6,0,0,0,78,120.4,4010,65.4,23.44,3182,1.68,732.4,3.39,-4,,0.066,120,46,142,7.72,5.56,3.28
D,5.46,24.04666667,0.278,70.8,141.8,0.174,0.62,0.1,-100,125.6,40,0,0,0,104,121.8,1008,70.6,19.22,32,1.42,,2.75,-4.2,,0.024,120,46,141.8,7.72,5.58,3.28
B,5.32,,0.268666667,64.4,137,0.068,0.1,0.04,-100,120.4,46.8,0,0,0,104,119.2,4018,66,18.04,3190,0.92,733.6,1.496,-4.2,,0.022,120,46,142.4,6.5,5.38,1.5
B,5.313333333,,0.318666667,64.2,136.8,0.218,0.44,0.04,-100,118.2,45.8,0,0,0,100,120.4,4014,65.2,22.02,2862,0.9,729.8,1.448,-4.2,,0.022,120,46,142,6.5,5.36,1.52
B,5.266666667,,0.28,73.2,149.8,0.04,0.24,0.04,-100,124.6,44.8,0,0,0,102,121,3990,65,16.72,3122,0.92,724.2,1.498,-4,,0.036,120,46,141.6,6.52,5.34,1.56
A,5.486666667,24.10666667,0.198666667,75,146.4,0.086,0.28,0.04,-100,114.8,46.2,0,0,0,100,120.2,4016,65.4,17.76,3048,1.5,732.8,2.942,-4,,0.022,120,46,142,7.16,5.44,3
A,5.46,23.98,0.204666667,65.8,136.6,0.01,0.04,0.06,-100,116.8,45.6,0,0,0,100,119.2,4010,66.2,17.76,3080,1.5,730,2.942,-3.6,,0.022,120,46,142.6,7.14,5.54,3.08
A,5.44,23.92,0.236,69.4,142,0.05,0.16,0.08,-100,116.4,46,0,0,0,98,120.8,4012,66.4,21.46,3102,1.52,731.8,2.992,-3.6,,0.022,120,46,142.4,7.14,5.56,3.06
D,5.48,23.90666667,0.178666667,70.4,141,0.09,0.22,0.04,-100,118,46,0,0,0,74,120.8,4012,65,19.68,2900,1.7,732.2,3.44,-4.4,,0.052,120,46,142.6,7.68,5.58,3.32
D,5.473333333,23.92,0.347333333,74.2,145.2,,0.5,0.08,-100,125.8,46.8,0,0,0,78,123.2,4010,65.2,16.74,2880,1.72,745.4,3.49,-4.4,,0.05,120,46,141.8,7.7,5.6,3.32
D,5.526666667,23.98666667,0.222,70.8,140.6,0.102,0.24,0.08,-100,132.8,45.6,0,0,0,76,119,4020,65.6,16.92,3350,1.72,740,3.49,-4.4,,0.042,120,46,142.8,7.7,5.62,3.34
B,5.38,24.06666667,0.288,66.8,139,0.058,0.18,0.04,-100,124.8,46,0,0,0,94,119,4018,66,,3020,0.94,720.4,1.548,-4.6,,0.024,120,46,143.2,6.52,5.5,1.38
C,5.313333333,24.10666667,0.314666667,66.4,139.8,0.08,0.1,0.1,-100,133.4,45.8,0,0,0,92,120,3982,66.4,20.28,2726,0.9,726.6,1.448,-5,,0.022,120,46,142.6,6.66,5.38,1.34
C,5.346666667,23.95333333,0.321333333,65.6,139.2,0.048,0.22,0.08,-100,130.4,46,0,0,0,90,119,3980,68.2,20.88,3276,0.94,731.6,1.548,-5,,0.022,120,46,142.6,6.58,5.4,1.38
B,5.366666667,23.94666667,0.343333333,67.8,141.2,0.076,0.1,0.04,-100,114.6,46.2,0,0,0,100,119.8,4010,65.6,19.72,3042,0.94,724.4,1.548,-5.4,,0.024,120,46,141.4,6.56,5.4,1.42
D,5.546666667,23.95333333,0.276,68.2,136.8,0.07,0.14,0.04,-100.2,114,46.2,0,0,0,78,119.8,4012,64.6,19.82,3040,1.74,721.8,3.538,-5,,0.036,120,46,142.8,7.7,5.62,3.28
D,5.526666667,23.96666667,0.270666667,71.6,141.4,0.078,0.04,0.04,-100.2,115.6,46.2,0,0,0,76,122.8,4008,64,18.78,2950,1.76,759,3.588,-5.2,,0.036,120,46,142.8,7.7,5.62,3.3
B,5.32,23.89333333,0.277333333,67.6,140.4,0.112,0.18,0.08,-100,114.2,45.8,0,0,0,96,119.4,4010,65.4,17.34,3032,0.94,745.6,1.548,-4.8,,0.024,120,46,141.8,6.58,5.4,1.48
A,5.42,23.92,0.288666667,74.2,147.6,0.058,0.16,0,-100.2,126.8,46,0,0,0,104,120,4012,66.8,21.2,3010,1.62,731,3.242,-5.2,,0.024,120,46,142.4,7.12,5.52,3.1
A,5.38,23.93333333,0.304,69.4,143,0.02,0.22,0.04,-100.2,126.8,45.6,0,0,0,112,120.8,4010,65.8,18.5,2962,1.56,742,3.092,-4.8,,0.024,120,46,142.4,7.14,5.5,3.06
D,5.546666667,23.94,0.438,65.6,133.6,,0.12,0.02,-100,117.4,45.8,0,0,0,72,116.6,3984,65.4,,3016,1.78,736.2,3.638,-5.2,,0.07,120,46,142.4,7.7,5.64,3.38
B,5.313333333,23.96666667,0.312,63.4,136.8,0.164,0.28,0.06,-100,119.2,49.8,0,0,0,100,119.6,4010,65.6,16.34,3182,0.9,726.2,1.448,-4.8,,0.022,120,50,142.6,6.58,5.38,1.42
B,5.386666667,24.09333333,0.288666667,63,134,0.046,0.3,0.02,-100.2,122.6,54.6,0,0,0,128,115.4,1232,65.8,18.98,3740,0.8,,1.198,-5.2,,0.122,120,46,142,6.56,5.38,1.48
B,5.266666667,23.90666667,0.338,63.4,136.4,0.16,,0.06,-100.2,115.4,45.8,0,0,0,96,119.2,4010,65.2,19.24,3038,0.9,735.4,1.448,-5,,0.024,120,46,142.8,6.58,5.36,1.48
B,5.286666667,23.98,0.248666667,69,143.8,0.004,0.16,0.12,-100.2,122,45.8,0,0,0,98,120,4010,65.2,18.42,2966,0.88,734.6,1.398,-5,,0.024,120,46,143,6.58,5.36,1.48
D,5.513333333,24.07333333,0.226,68.8,138.4,0.024,0.12,0.02,-100.2,113.6,46.2,0,0,0,76,120.6,4012,65.4,14.04,3002,1.72,759,3.49,-5,,0.042,120,46,143,7.72,5.58,3.28
C,5.226666667,23.95333333,0.353333333,66.4,142.8,0.15,0.14,0.06,-100,120.6,46.2,0,0,0,98,119.6,3988,67.4,21.1,2968,0.94,741.2,1.548,-5.4,,0.12,120,46,142.4,6.54,5.3,1.32
C,5.38,24.01333333,0.274,68.6,141.6,0.14,0.24,0.04,-100.2,125.6,46,0,0,0,110,120.4,3942,66.8,22.9,3054,0.92,715,1.496,-5,,0.068,120,46,142.8,6.6,5.4,1.48
B,5.34,23.96666667,0.313333333,69.6,143,0.134,0.32,0.06,-100.2,119,46,0,0,0,102,119.2,3982,67.8,16.78,2980,0.86,722,1.348,-5,,0.066,120,46,141.2,6.56,5.42,1.38
B,5.346666667,23.99333333,0.257333333,68,141.2,0.05,0.02,0.02,-100.2,119.2,46.2,0,0,0,96,119.4,3980,65.2,20.28,2994,0.86,734.4,1.348,-4.6,,0.042,120,46,142,6.56,5.4,1.42
B,5.333333333,24.00666667,0.308,67.4,140.6,0.07,0.02,0.02,-100.2,127,46,0,0,0,98,121.2,3984,65.4,14.28,2994,0.82,731.2,1.248,-4.4,,0.058,120,46,142.4,6.54,5.38,1.42
B,5.28,23.96,0.260666667,64.6,138.6,0.094,0.18,0.04,-100.2,119.4,46.4,0,0,0,104,121,3984,65,19.88,2988,0.92,728.8,1.498,-4.8,,0.058,120,46,142.6,6.54,5.34,1.44
D,5.49,23.82,0.264666667,68.6,138.6,0.018,0.16,0.02,-100.2,126.6,46,0,0,0,84,119.2,3990,65.4,21.4,2988,1.62,727,3.24,-4.4,,0.092,120,46,143,7.72,5.64,3.26
B,5.24,24.18666667,0.152666667,69.2,144.2,0.032,0.12,0.12,-100.2,130.6,45.8,0,0,0,96,119.8,3986,64.8,21.82,2996,0.88,726.2,1.398,-4.4,,0.146,120,46,142.8,6.52,5.42,1.44
B,5.306666667,23.94,0.276666667,62.8,135.4,0.086,0.4,0.04,-100.2,130,46.2,0,0,0,100,120.6,3980,65.6,20.56,2988,0.92,734,1.498,-4.2,,0.108,120,46,142.6,6.54,5.4,1.54
B,5.326666667,23.99333333,0.284666667,70,144.8,0.092,0.18,0.02,-100.2,124.8,49.8,0,0,0,102,125.4,1008,65.4,24.06,3032,0.98,641.2,1.648,-4.8,,0.05,120,46,142.8,6.52,5.38,1.5
B,5.3,23.95333333,0.321333333,68.6,143.4,0.05,0.06,0,-100.2,122.2,46.2,0,0,0,96,120,3984,67.4,24.06,2990,1,723.4,1.698,-5.4,,0.158,120,46,142.8,6.54,5.4,1.44
B,5.326666667,23.90666667,0.298666667,66,139.2,0.064,0.3,0.08,-100,124.8,46,0,0,0,98,119.8,3982,67.2,24.06,2980,1,726.6,1.698,-5.4,,0.138,120,46,142.6,6.52,5.42,1.46
B,5.293333333,23.86,0.322,73.4,150,0.034,0.3,0.02,-100.2,121,46.2,0,0,0,98,120.4,3984,66.6,19.56,2988,0.98,733.2,1.646,-5.6,,0.132,120,46,142.2,6.52,5.42,1.44
B,5.16,23.89333333,0.314,61.6,138,0.072,0.12,0.14,-100.2,118.8,46,0,0,0,100,120.2,3986,67.2,16.46,3010,0.98,727.6,1.648,-5.4,,0.172,120,46,142.2,6.5,5.4,1.44
C,5.26,24.06,0.288666667,65.2,138.8,0.068,0.06,0.12,-100,121.8,49.6,0,0,0,120,113.2,1172,68.2,23.26,3684,0.74,232.4,1.048,-5.2,,0.22,120,48,142.4,6.64,5.28,1.32
C,5.213333333,24,0.34,64.6,142.2,0.04,0.2,0.12,-100.2,124.2,48.2,0,0,0,100,119.2,3984,65.6,21.14,3064,0.94,731.6,1.548,-5.4,,0.126,120,48,142.6,6.64,5.32,1.42
D,5.413333333,23.98666667,0.310666667,74.2,147.6,0.01,0.06,0.02,-100.2,124.2,48,0,0,0,80,119.4,3988,66.8,23.58,3030,1.82,732,3.738,-5.8,,0.086,120,48,143.4,7.7,5.6,3.32
D,5.5,24.1,0.338666667,71.2,141.4,0.032,0.44,0.04,-100,116,48,0,0,0,76,116.8,3984,66,20.1,3104,1.82,720.4,3.738,-5.8,,0.116,120,48,143,7.7,5.62,3.34
A,5.413333333,23.99333333,0.335333333,61.8,132.6,0.098,0.18,0.06,-100.2,120.8,47.8,30.2,33,35,98,110.2,3786,65.8,19.88,3156,1.7,687.8,3.44,-5.6,,0.068,110,48,142.6,7.04,5.52,3.26
A,5.34,24.00666667,0.335333333,67.2,140,0.06,0.1,0.1,-100.2,117.2,48,37,34.8,38.6,92,110.4,3984,66.2,24.24,3380,1.7,724.2,3.44,-5.6,,0.06,110,48,142.6,7.1,5.52,3.14
D,5.533333333,23.96,0.292,73,143.4,0.018,0.1,0.02,-100.2,113.2,60.2,34.4,35.6,26.4,82,113.4,3600,64.2,16.2,3486,1.8,643.8,3.686,-5.8,,0.044,130,,142.4,7.68,5.64,3.36
B,5.26,23.98666667,0.34,68.4,144,0.072,0.08,0,-100,116,54,1.4,3.8,8,116,126,2354,66.2,16.26,3568,0.84,573.6,1.298,-5,,0.076,130,48,142.4,6.56,5.38,1.36
D,5.466666667,24.04666667,0.268,71.4,143.2,0.028,0.18,0.06,-100.2,125.8,48,22.4,39.6,31.4,80,120,3790,65.4,20.32,3272,1.72,688.8,3.49,-5.4,,0.058,120,48,142.8,7.72,5.62,3.24
D,5.486666667,23.99333333,0.259333333,75.4,147.6,0.038,0.08,0.02,-100,122.2,48,20,38.4,30.8,80,121.6,3792,65,22.94,3472,1.78,671.6,3.638,-5.4,,0.052,120,48,142.6,7.7,5.66,3.3
B,5.24,23.93333333,0.324666667,67.2,142.8,0.072,0.08,0,-100,133.4,46,19.6,39.8,28.4,108,120.2,3792,65.4,19.58,3308,0.94,680.6,1.548,-5.4,,0.07,120,46,143.2,6.56,5.36,1.38
C,5.26,23.96666667,0.326,65,139.6,0.024,0.04,0,-100.2,117,48.2,34.2,30.6,21.8,100,119.8,3716,67,16.44,3088,0.8,676.4,1.196,-4.4,,0.168,120,48,142.6,6.64,5.34,1.26
C,5.213333333,23.78666667,0.398666667,69.8,146.6,0.072,0.26,0.06,-100.2,122.6,47.8,39.6,31.6,23.6,106,120.2,3716,67,18,3074,0.78,666.4,1.146,-4.4,,0.17,120,48,142.6,6.66,5.36,1.26
C,5.2,23.90666667,0.361333333,68.2,145.2,0.014,0.04,0,-100.2,118.2,52.6,39.6,30,19.8,124,117.6,3196,66.8,21.16,3530,0.8,569,1.196,-4.4,,0.09,120,48,142.8,6.64,5.3,1.32
B,5.226666667,24.04666667,0.262666667,71.2,148.6,0.07,,0.1,-100.2,125.4,42.4,0,0,0,130,121.6,,68.8,19.56,252,0.78,,1.148,-4.2,,,120,48,142.4,6.56,5.66,1.44
B,5.273333333,24.10666667,0.404666667,65.2,140,0.124,0.1,0.02,-100.2,129,42.4,0,0,0,122,120.4,1008,65.8,21.8,278,0.84,,1.298,-5,,0.068,120,48,142.2,6.52,5.32,1.42
D,5.506666667,23.98666667,0.259333333,70.6,140.2,0.052,0.1,0.08,-100.2,121.4,46,38.2,30.8,23.2,80,118.6,3898,63.8,19.84,2956,1.68,730,3.39,-5,,0.046,120,46,142.8,7.74,5.6,3.18
B,5.266666667,23.88666667,0.348,67.2,141.2,0.03,0.32,0.24,-100,122.8,48,30.8,33,25.2,98,119.6,3804,66.6,17.32,3006,0.98,692,1.646,-5.8,,0.066,120,48,142.2,6.56,5.38,1.44
A,5.326666667,23.92,0.266,73.6,149.4,0.11,0.22,0.06,-100.2,122.4,52,0.4,15.2,13.8,120,121.4,1522,71.6,17.74,3824,1.5,313,2.95,-5.8,,0.194,120,50,143.8,7.08,5.32,2.86
B,5.253333333,24.09333333,0.329333333,66,141.4,0.036,0.14,0.04,-100.2,123.2,48,34,30.4,21.4,98,120,3806,65.4,16.84,3106,0.92,693.2,1.498,-5.4,,0.082,120,48,143.4,6.58,5.36,1.4
A,5.34,,0.231333333,68,140.6,0.044,0.08,0.12,-100.2,120.8,52.4,34.4,32.2,23.6,94,125.4,3810,68.4,21.54,3858,1.46,696.6,2.846,-5.2,,0.084,130,50,143.4,7.18,5.7,2.84
A,5.66,23.79333333,0.332,76,143.8,0.194,,0.1,-100,,,-50,-50,-50,,,,,20.16,0,0.06,,3.48,,,,,46,,,,0
A,5.366666667,23.87333333,0.316666667,77.4,152.2,0.042,0.16,0.02,-100.2,119.2,46,39,34.6,30,122,120.8,3690,69,17.94,2946,1.64,667.8,3.294,-5.8,,0.354,120,46,143.2,7.1,5.62,3
A,5.46,24.01333333,0.368,66,136.6,0.066,0.32,0.04,-100,122.8,51,0,0.2,0,68,122.2,1006,67.6,22.16,44,1.6,,3.192,-5.8,,0.398,120,46,143,7.12,5.58,3
D,5.54,23.91333333,0.299333333,70.8,140.4,0.04,0.06,0.04,-100.2,120.4,40.6,0,0.2,0,124,125,1010,75.4,19.44,44,1.6,,3.212,-5.4,,0.186,120,46,142.2,7.7,5.68,3.28
B,5.346666667,23.96666667,0.31,67.6,140.8,0.132,0.22,0.04,-100.2,116.4,46,29.8,34,23.4,96,120,3880,65.2,19.38,3078,0.98,700.6,1.648,-5.4,,0.072,120,46,142.8,6.58,5.4,1.48
D,5.486666667,23.84666667,0.348,73.6,146,0.112,0.38,0.06,-100,122.4,56,0,0.2,0,98,146.6,,64.4,22.62,46,1.68,,3.39,-5.6,,0.04,120,46,142.2,7.72,5.6,3.26
B,5.286666667,23.96666667,0.368,67.4,143,0.09,0.04,0.08,-100.2,115.8,46,22.6,35.8,32.6,96,119.6,4012,65.8,21.78,3038,0.98,731,1.648,-5.2,,0.07,120,46,142.4,6.58,5.36,1.44
A,5.426666667,24.13333333,0.447333333,60.4,134.6,0.166,0.6,,-100.2,119,51.8,43.2,34.2,34.8,118,120.4,3896,66.2,18.24,3256,1.54,703.4,3.042,-4.6,,0.058,120,52,142,7.14,5.54,3.04
A,5.406666667,24.09333333,0.317333333,64.4,135.8,0.13,0.32,0.06,-100.2,116.4,51.8,38,35,35,82,118.6,3898,66,17.52,3206,1.58,723.4,3.142,-4.8,,0.066,120,52,142.4,7.1,5.5,3.04
D,5.426666667,23.97333333,0.188,69.2,141.8,0.038,0.3,0.12,-100.2,122.8,46.8,0,0.2,0,114,121,1008,69.2,13.4,42,1.66,,3.344,-5,,0.058,120,52,143,7.72,5.44,3.24
D,5.446666667,23.94666667,0.33,70.8,143.2,0.082,0.22,0.06,-100.2,118.2,46,29.2,36.2,33,72,119.4,4020,66.2,18.06,3004,1.64,731.4,3.29,-5,,0.104,120,46,142.4,7.78,5.56,3.1
B,5.293333333,23.86666667,0.28,70.6,145.8,0.04,0.16,0.02,-100.2,116.8,46,25.8,56.4,21.2,98,119.6,3904,65.2,17,3132,0.92,712,1.498,-5.2,,0.108,120,46,142.6,6.52,5.38,1.44
B,5.366666667,23.96,0.370666667,64,136.6,0.176,0.2,0.06,-100.2,119.2,46,16.8,27.6,21.4,96,120,3898,64.8,18.9,3108,0.9,710.6,1.448,-5.4,,0.116,120,46,142.4,6.56,5.36,1.36
B,5.36,24.01333333,0.284666667,67.6,141,0.016,0.08,0.04,-100.2,125.4,46,24.6,26.8,20.4,106,119.4,3902,65.4,22.48,3178,0.9,707,1.448,-4.8,,0.08,120,46,142,6.54,5.36,1.42
B,5.34,23.96666667,0.338666667,62.6,133,0.074,0.18,0.16,-100.2,125,46,32.6,26.6,23.2,104,120,3896,64.8,20.16,3174,0.9,711.2,1.448,-4.8,,0.052,120,46,142.4,6.54,5.4,1.36
C,5.22,24.12666667,0.290666667,71,149.2,0.074,0.02,0.08,-100.2,126,46,32.6,61.4,34.8,102,119.8,3894,67,20.98,3286,0.9,706,1.448,-5,,0.184,120,46,142.8,6.56,5.44,1.38
C,5.186666667,23.82,0.333333333,65.4,140.8,0.05,0.2,0.12,-100,121.6,45.8,21.8,24,29.6,94,120.6,4002,69.2,18.44,3234,0.98,727.8,1.648,-5.4,,0.122,120,46,143,6.6,5.32,1.44
C,5.286666667,23.94666667,0.378666667,63.4,136.8,0.094,0.12,0.02,-100,123.4,46.2,11.8,19.4,24.2,96,119.8,3908,66.8,20.2,3310,0.94,709,1.548,-5.4,,0.116,120,46,141.8,6.56,5.32,1.38
C,5.213333333,23.82,0.305333333,63,137,0.18,0.22,0.08,-100,127.6,54.8,0,0,0,118,122.6,1006,65.8,16.24,44,0.94,,1.548,-5.4,,0.088,120,46,142.2,6.5,5.3,1.5
B,5.286666667,23.87333333,0.366666667,64.8,138.6,0.096,0.28,0.04,-100,117.2,46.2,28.6,40.4,32.4,92,119.4,3896,66.2,20.68,3112,0.94,728.4,1.548,-5.8,,0.074,120,46,142,6.58,5.38,1.34
B,5.28,23.86666667,0.346,64.6,138.4,0.054,0.18,0.04,-100.2,116.8,46,29.2,39.2,30.8,90,119.4,3894,65.8,20.56,3136,0.94,712.8,1.548,-5.8,,0.072,120,46,142.6,6.54,5.38,1.34
D,5.513333333,23.9,0.368666667,68.4,137.2,0.154,0.36,0.08,-100.2,123.2,46,36.4,32.2,28,74,121.4,3904,67.8,24.34,3196,1.62,708.8,3.242,-5,,0.06,120,46,142.2,7.8,5.68,3.08
D,5.493333333,23.88,0.312666667,68.6,138.8,0.022,0.14,0.02,-100.2,120.2,46,34.4,36.4,22.8,78,119.4,3800,65.6,16.82,3182,1.62,688.4,3.24,-5.4,,0.054,120,46,142.4,7.8,5.62,3.04
B,5.26,23.84,0.348666667,65.6,140.8,0.056,0.1,0.04,-100.2,127.4,40,0,0.2,0,120,153.2,,67.8,20.6,1962,0.8,,1.196,-5.6,,0.116,120,46,142,6.52,5.38,1.26
B,5.266666667,23.90666667,0.332666667,64,138.6,0.066,0.16,0.12,-100,120,45.8,29.8,40.2,26.2,94,121.2,3914,65.8,17.66,3062,0.92,708.4,1.496,-5.4,,0.0056,120,46,142,6.52,5.44,1.38
B,5.28,23.86666667,0.356,62.2,134.2,0.09,0.14,0.1,-100.2,121.4,46,28.8,40.6,26.6,102,119.6,3908,66,22.88,3078,0.92,713.6,1.496,-5.4,,0.0088,120,46,142.2,6.5,5.4,1.4
D,5.486666667,23.89333333,0.248666667,75,146.8,0.066,0.1,0.04,-100.2,125.6,50.4,0,0.2,0,114,118.4,,65.4,24.6,44,1.6,15.6,3.192,-5.2,,0.0052,120,46,141.6,7.74,5.56,3.16
